epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.7276150977069682,1.357050570701672,0.5380888888888888,955.3636017739772
2,1.5085757926783778,1.1077362014912069,0.6351111111111111,779.8462858498096
3,1.4287145401097157,1.1254253432747314,0.6236777777777778,792.299441665411
4,1.3641373655674132,1.1010868954895572,0.6354222222222222,775.1651744246483
5,1.301155549304729,1.005255982554941,0.6750555555555555,707.7002117186785
6,1.259203913452273,0.9391557295298711,0.6909888888888889,661.1656335890293
7,1.2518670813773165,0.9137526274531741,0.7193222222222222,643.2818497270346
8,1.1946839268573306,0.8483656642069533,0.7270333333333333,597.2494276016951
9,1.162331475537609,0.9228423575193367,0.7045222222222223,649.681019693613
10,1.1418361433527686,0.9619691617024894,0.6995666666666667,677.2262898385525
11,1.1042361745441502,0.8772982579909943,0.7205777777777778,617.6179736256599
12,1.0993031754412437,0.8655419028575786,0.7270777777777778,609.3414996117353
13,1.057896838692779,0.9246343528343872,0.7081777777777778,650.9425843954086
14,1.0240403638983315,0.9513279641131785,0.7014,669.7348867356777
15,0.9840418546545234,0.9065636900168929,0.7122,638.2208377718925
16,0.9582616881552068,0.9414586070290004,0.7106,662.7868593484163
17,0.940374526195228,0.9255686630071565,0.7244777777777778,651.6003387570381
18,0.9405980595302852,0.8941560081121597,0.7285555555555555,629.4858297109604
19,0.8964644320817157,0.9505923635707322,0.7086333333333333,669.2170239537954
20,0.8959141807969321,0.9683105462781069,0.7151888888888889,681.6906245797873
21,0.8727894488891418,0.8653139829296957,0.7444333333333333,609.1810439825058
22,0.8337557365779172,0.8742287187540735,0.7385333333333334,615.4570180028677
23,0.8628877695141868,0.8569758776151999,0.7500222222222223,603.3110178411007
24,0.8726489238271659,0.8404697532426905,0.7477666666666667,591.6907062828541
25,0.8334368600256064,0.8445324261291799,0.7567,594.5508279949427
26,0.8635301379148256,0.8737550150095061,0.7562222222222222,615.1235305666924
27,0.8191937398673459,0.8047982179983095,0.7620111111111111,566.5779454708099
28,0.8280473640188575,0.8474494485099885,0.7605888888888889,596.6044117510319
29,0.8517966506664049,0.8252949975430965,0.7571666666666667,581.00767827034
30,0.829502131959254,0.790334970944307,0.7678444444444444,556.3958195447922
31,0.8409236437556419,0.7989062973382798,0.7671222222222223,562.430033326149
32,0.8269347018477592,0.7973781979050149,0.7666444444444445,561.3542513251305
33,0.7840189108286392,0.8134499755688012,0.7693555555555556,572.668782800436
34,0.8245235640047626,0.7868636721660468,0.7708111111111111,553.9520252048969
35,0.8314914247867736,0.8028393462088637,0.7706666666666667,565.19889973104
36,0.8171422415497628,0.7933209361296825,0.7718888888888888,558.4979390352964
37,0.8204661622982133,0.776117236607454,0.7730777777777778,546.3865345716476
38,0.8236085364425724,0.799390599025752,0.7729111111111111,562.7709817141294
39,0.7905600499361753,0.7891166407445614,0.7721,555.5381150841713
40,0.8226324089548804,0.8085658742453564,0.7715888888888889,569.2303754687309
