epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.7870061692189088,1.4792287439023226,0.4791555555555555,1041.377035707235
2,1.5342116437175055,1.1796269785951485,0.5966777777777778,830.4573929309845
3,1.391874613579024,1.1098139534323392,0.6214555555555555,781.3090232163668
4,1.302830943837762,1.1488198822110214,0.6035555555555555,808.7691970765591
5,1.240092920986089,1.1566822967407377,0.6083555555555555,814.3043369054794
6,1.1949005377563564,0.9843358612534675,0.6679888888888889,692.9724463224411
7,1.153174918144941,1.1016764137893915,0.6389777777777778,775.5801953077316
8,1.1151521269401363,0.9315192284358834,0.6881666666666667,655.789536818862
9,1.0754891926084051,1.0006566510366446,0.6696888888888889,704.4622823297977
10,1.0338121626356789,0.8889563031367619,0.7028666666666666,625.8252374082804
11,0.988127938048406,0.9010498921852559,0.6977111111111111,634.3391240984201
12,0.9393389846452258,0.8405894258017228,0.7235555555555555,591.7749557644129
13,0.8723614904182878,0.8444445798787373,0.7235333333333334,594.4889842346311
14,0.8154490939764814,0.9012708503922279,0.7090555555555556,634.4946786761284
15,0.7302965539592233,0.8536831547971815,0.7300555555555556,600.9929409772158
16,0.651171569458463,0.7902795218185268,0.7596888888888889,556.3567833602428
17,0.5955067376860164,0.7637713228733364,0.7687333333333334,537.6950113028288
18,0.5661867600442334,0.7329343803099949,0.7796111111111111,515.9858037382364
19,0.5553927964276888,0.7288620043969289,0.7813222222222223,513.118851095438
20,0.5528340189802375,0.7329168171748858,0.7804777777777778,515.9734392911196
