epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.748331427235495,1.4536040211096406,0.4926555555555555,1023.337230861187
2,1.4771335080943324,1.3244729429187085,0.5462777777777778,932.4289518147708
3,1.351572355763479,1.219845770392567,0.5763222222222222,858.7714223563671
4,1.272852281785824,1.0797639495312152,0.6333333333333333,760.1538204699755
5,1.2149057058109478,1.0399803607512943,0.6430111111111111,732.1461739689112
6,1.16614886009219,1.1465276638469235,0.6001555555555556,807.1554753482342
7,1.1302081803706558,0.9698960865974765,0.6720111111111111,682.8068449646235
8,1.083724308758974,0.9342240505343811,0.6867777777777778,657.6937315762043
9,1.0455115412107925,1.014860433716835,0.6658888888888889,714.4617453366518
10,0.9986132476478816,0.9350952575491234,0.6884555555555556,658.3070613145828
11,0.9556332964619452,0.9502965676259588,0.6845777777777777,669.008783608675
12,0.8997862494804643,0.9075120556676253,0.7005111111111111,638.8884871900082
13,0.8402960556982593,0.8484018508408387,0.7240666666666666,597.2749029919505
14,0.7704914767633785,0.828370689086362,0.7297111111111111,583.1729651167989
15,0.6941431715915148,0.829942927357148,0.7376666666666667,584.2798208594322
16,0.6162026876753027,0.7596107466273349,0.7678111111111111,534.7659656256437
17,0.5666099233891476,0.7464266917668283,0.7754222222222222,525.4843910038471
18,0.5457459817725149,0.7324752327562734,0.7802222222222223,515.6625638604164
19,0.5391456978395581,0.7281588483813473,0.7823666666666667,512.6238292604685
20,0.5377034732902591,0.7256787087429654,0.7831,510.8778109550476
