epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.6066815411164002,1.4811347374184565,0.4692777777777778,1042.7188551425934
2,1.3491424220529469,1.440047482663596,0.4896333333333333,1013.7934277951716
3,1.2408844920044595,1.343368628379804,0.5264222222222222,945.731514379382
4,1.1682962340048768,1.1727854190182618,0.6049888888888889,825.6409349888563
5,1.1100058227100156,1.2330961615185847,0.5796555555555556,868.0996977090836
6,1.0556702881374145,1.3124993148005821,0.5490777777777778,923.9995176196098
7,1.0076581946658818,1.1978723364882171,0.5945333333333334,843.3021248877048
8,0.9562960676848888,1.237021756877022,0.5810333333333333,870.8633168414235
9,0.9088232646780936,1.1896430301606993,0.5954,837.5086932331324
10,0.855144217949022,1.2595253766895356,0.5827111111111111,886.7058651894331
11,0.8073228573934599,1.299402232493528,0.5832,914.7791716754436
12,0.7570577660067515,1.245929218871011,0.6037333333333333,877.1341700851917
13,0.7120499182492495,1.2449619752693584,0.5993666666666667,876.4532305896282
14,0.674614823423326,1.2815245415973053,0.5982,902.193277284503
