epoch,train_loss,val_loss,val_acc,val_loss_old
1,1.6519181152636355,1.3889783755452796,0.4990777777777778,977.8407763838768
2,1.426623938943852,1.3198316753630273,0.5406888888888889,929.1614994555712
3,1.3144367777488448,1.1494784131222828,0.6024222222222222,809.2328028380871
4,1.2282448504120111,1.0373020004481077,0.6468555555555555,730.2606083154678
5,1.1586663956669243,0.9945372173096985,0.6639666666666667,700.1542009860277
6,1.103878207335418,0.9477691818028688,0.6785555555555556,667.2295039892197
7,1.0519029644571922,0.876215816771781,0.7089777777777778,616.8559350073338
8,1.0001157456162302,0.8952990425962277,0.7014222222222222,630.2905259877443
9,0.9500126179985025,0.8081430023409087,0.7318222222222223,568.9326736479998
10,0.8969058993865143,0.8557397290450436,0.7187555555555556,602.4407692477107
11,0.8346674043515866,0.8106774257030338,0.7360111111111111,570.7169076949358
12,0.775482204658064,0.8025622810025446,0.7422333333333333,565.0038458257914
13,0.7110645387491042,0.7964361504947935,0.7508222222222222,560.6910499483347
14,0.6513637556609783,0.8139332676814361,0.7518666666666667,573.009020447731
15,0.6033073495226827,0.8078711437992752,0.7582444444444445,568.7412852346897
16,0.5702367607842792,0.8185425191186368,0.7574,576.2539334595203
17,0.5506530038335107,0.8146837975999172,0.7614333333333333,573.5373935103416
18,0.539207723245702,0.821469037708911,0.7611888888888889,578.3142025470734
19,0.5340365576134487,0.8192691076970235,0.7611111111111111,576.7654518187046
20,0.531838260083036,0.820840367116034,0.7616444444444445,577.871618449688
